Question,Importance_Mean,Importance_SD
2. What is your current designation?,0.0,0.0
13. How familiar are you with the use of AI / Machine Learning for demand forecasting?,0.0,0.0
24. What is the current level of management support for AI adoption?,0.0,0.0
23. How prepared is your organization to adopt AI-based demand forecasting?,0.0,0.0
22. How would you describe the availability of employees with AI / analytics skills?,0.0,0.0
21. How would you describe the availability of historical data required for AI-based demand forecasting?,0.0,0.0
20. What is the current level of technological infrastructure available for AI / analytics?,0.0,0.0
17. In which business area is AI / analytics currently being used or planned to be used?,0.0,0.0
15. Through which source have you mainly learned about AI applications?,0.0,0.0
14. Which AI / analytics application are you most familiar with?,0.0,0.0
12. How would you describe your awareness of Artificial Intelligence applications in business?,0.0,0.0
3. How many years of experience do you have in the textile industry?,0.0,0.0
11. How would you describe the effectiveness of the current demand forecasting process?,0.0,0.0
10. Which factor has the greatest influence on demand variation in your organization?,0.0,0.0
9. Which information is primarily used for demand forecasting?,0.0,0.0
8. How frequently is demand forecasting performed?,0.0,0.0
7. What is the primary method used for demand forecasting in your organization?,0.0,0.0
6. Does your organization currently use demand forecasting for production planning?,0.0,0.0
5. What is the approximate size of your organization?,0.0,0.0
4. What is the primary activity of your organization?,0.0,0.0
25. What level of investment would your organization be willing to make for AI-based demand forecasting?,0.0,0.0
